Year,Filename,Num_Unique_Vars,Unique_Vars
2009,09zpallagi.csv,7,"N01700,A01700,A07220,N01400,A01400,N07220,NUMDEP"
2010,10zpallagi.csv,7,"N01700,A01700,A07220,N01400,A01400,N07220,NUMDEP"
2011,11zpallagi.csv,7,"N01700,A01700,A07220,N01400,A01400,N07220,NUMDEP"
2012,12zpallagi.csv,11,"N01700,A01700,MARS1,A00101,A07220,N00101,MARS4,N01400,A01400,N07220,NUMDEP"
2013,13zpallagi.csv,48,"N03150,A03240,N02900,A85300,A03210,N00700,N07230,N01400,A01400,A10960,A03150,N85300,N85330,A01700,N05800,N03220,A00101,A03230,N10600,MARS4,A10600,N07220,NUMDEP,N10960,N01700,N03240,A03220,N07300,N07240,A00700,A85330,A02650,A03270,A26270,N26270,A05800,MARS1,A07230,N02650,N03270,A02900,N03210,A07220,A07240,N03230,N09400,A07300,A09400"
2014,14zpallagi.csv,61,"A85770,N85530,N03150,A11560,A03240,N02900,A85300,TOTAL_VITA,A03210,N00700,A09750,N07230,N05780,N01400,A01400,A10960,A03150,N85300,A01700,A05780,A85775,N05800,N03220,A00101,N85770,N10600,A03230,MARS4,A10600,N07220,NUMDEP,N10960,TCE,N01700,N03240,A03220,N07300,N07240,A00700,N85775,N09750,N11560,A02650,A03270,A26270,N26270,A85530,A05800,MARS1,A07230,N02650,VITA,N03270,A02900,N03210,A07220,A07240,N03230,N09400,A07300,A09400"
2015,15zpallagi.csv,65,"A85770,N85530,N03150,A11560,A03240,N02900,A85300,TOTAL_VITA,A03210,RAC,N00700,A09750,N07230,RAL,N05780,N01400,A01400,A10960,A03150,ELDERLY,N85300,A01700,A05780,A85775,N05800,N03220,A00101,N85770,N10600,A03230,MARS4,A10600,N07220,NUMDEP,N10960,TCE,N01700,N03240,A03220,N07300,N07240,A00700,N85775,N09750,N11560,A02650,A03270,A26270,N26270,A85530,A05800,MARS1,A07230,N02650,VITA,N03270,A02900,VITA_EIC,N03210,A07220,A07240,N03230,N09400,A07300,A09400"
2016,16zpallagi.csv,81,"A85770,N85530,A03240,RAL,N01400,A03150,A01700,N05800,A00101,N10600,N19570,TCE,N07240,N09750,N11560,N19550,A07220,N03230,N19500,A03210,N00700,A09750,A01400,N07220,N01700,A03220,N18800,A02650,A03270,N26270,A85530,N20800,A19530,A09400,N03150,A11560,TOTAL_VITA,A10960,ELDERLY,N85300,A05780,N03220,MARS4,NUMDEP,N03240,N07300,A00700,N85775,A26270,A05800,MARS1,A19500,N02650,A07230,A18800,A17000,A07240,N09400,A21020,A07300,N02900,A85300,RAC,N07230,N19530,N21020,N05780,A85775,N85770,A03230,A10600,N10960,N17000,A19550,A20800,VITA,N03270,A02900,VITA_EIC,N03210,A19570"
2017,17zpallagi.csv,87,"A85770,N85530,A12000,A03240,N01400,A03150,A01700,N05800,A00101,N10600,N19570,TCE,N07240,DIR_DEP,N09750,N11560,N19550,A07220,N03230,ELF,N19500,A03210,N00700,A09750,A01400,A11900,CPREP,N07220,N01700,A03220,N20950,N18800,A02650,A03270,N26270,A85530,N20800,A20950,A19530,A09400,N03150,A11560,TOTAL_VITA,A10960,ELDERLY,N85300,A05780,N03220,MARS4,NUMDEP,N03240,N07300,A00700,N12000,N85775,A26270,A05800,MARS1,A19500,N02650,A07230,A18800,A17000,A07240,N09400,A07300,N02900,A85300,RAC,N07230,N19530,N05780,A85775,N85770,A03230,A10600,N10960,N17000,A19550,A20800,N11900,VITA,N03270,A02900,VITA_EIC,N03210,A19570"
2018,18zpallagi.csv,87,"A85770,N85530,A12000,A03150,N05800,A00101,N10600,N19570,TCE,N07240,DIR_DEP,N09750,N11560,ELF,N04475,N19500,A03210,N00700,A04475,A09750,A11900,CPREP,A04200,N04200,A03220,N20950,N18800,A02650,A03270,N26270,A85530,N18460,A20950,A19530,A09400,N03150,A11560,TOTAL_VITA,A04100,A10960,ELDERLY,N85300,A05780,N03220,MARS4,A04450,NUMDEP,A07225,N07300,A00700,N12000,N85775,A26270,A05800,MARS1,A19500,N02650,A07230,A18800,A17000,A07240,N09400,N04100,A07300,N02900,A85300,RAC,N07230,N19530,N05780,A85775,A18460,N85770,A10600,N10960,A01750,N17000,N04450,N07225,N11900,VITA,N03270,A02900,VITA_EIC,N03210,N01750,A19570"
2019,19zpallagi.csv,86,"A85770,N85530,A12000,N01400,A03150,A01700,N05800,A00101,N10600,N19570,TCE,N07240,DIR_DEP,N11560,ELF,N04475,N19500,A03210,N00700,A04475,A01400,A11900,CPREP,A04200,N04200,N01700,A03220,N20950,N18800,A02650,A03270,N26270,A85530,N18460,A20950,A19530,A09400,N03150,A11560,TOTAL_VITA,A04100,A10960,ELDERLY,N85300,A05780,N03220,MARS4,A04450,A07225,N07300,A00700,N12000,N85775,A26270,A05800,MARS1,A19500,N02650,A07230,A18800,A17000,A07240,N09400,N04100,A07300,N02900,A85300,RAC,N07230,N19530,N05780,A85775,A18460,N85770,A10600,N10960,N17000,N04450,N07225,N11900,VITA,N03270,A02900,VITA_EIC,N03210,A19570"
2020,20zpallagi.csv,99,"A85770,N85530,A12000,N10971,A10970,N01400,A03150,A01700,N05800,A00101,A02910,N10600,N19570,A10971,TCE,N07240,A11450,DIR_DEP,N11560,N19550,ELF,N04475,N19500,A03210,N00700,A04475,N10973,A01400,A11900,CPREP,A04200,N04200,N01700,A03220,N20950,N02910,N11450,N18800,A02650,A03270,N26270,A85530,N18460,A20950,A19530,A09400,N03150,A11560,TOTAL_VITA,A04100,A10960,VRTCRIND,ELDERLY,N85300,A05780,N03220,MARS4,A04450,A07225,N07300,N10970,A00700,N12000,N85775,A10973,A26270,A05800,MARS1,A19500,N02650,A07230,A18800,A17000,A07240,N09400,N04100,A07300,N02900,A85300,RAC,N07230,N19530,N05780,A85775,A18460,N85770,A10600,N10960,N17000,N04450,A19550,N07225,N11900,VITA,N03270,A02900,VITA_EIC,N03210,A19570"
2021,21zpallagi.csv,101,"A85770,N85530,A12000,N10971,A10970,N01400,A03150,A01700,N05800,A00101,A02910,N10600,N19570,A10971,TCE,N07240,A11450,DIR_DEP,N11560,N19550,ELF,A11530,N04475,N19500,A03210,N00700,A04475,A01400,N11530,A11900,CPREP,A04200,N04200,N01700,A03220,N20950,N02910,N11450,A11520,N18800,A02650,A03270,N26270,A85530,N18460,A20950,A19530,A09400,N03150,A11560,TOTAL_VITA,A04100,A10960,VRTCRIND,ELDERLY,N85300,A05780,N03220,MARS4,A04450,A07225,N07300,N10970,A00700,N12000,N85775,A26270,A05800,MARS1,A19500,N02650,A07230,A18800,A17000,A07240,N09400,N04100,A07300,N02900,A85300,RAC,N07230,N19530,N05780,A85775,A18460,N85770,A10600,N10960,N17000,N04450,A19550,N07225,N11900,VITA,N11520,N03270,A02900,VITA_EIC,N03210,A19570"
